,Rank,Player,Team,Pos,Age,G,GS,passCmp,passAtt,passYds,passTD,passInt,rushAtt,rushYds,rushYPA,rushTD,Tgt,Rec,recYds,recYPR,recTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,ID,Year
0,1,Priest Holmes*+,KAN,RB,30,16,16,0,1,0,0,0,320,1420,4.44,27,90,74,690,9.32,0,1,1,27,,,371,445.0,452.0,408.0,229,1,1,HolmPr00,2003
1,2,LaDainian Tomlinson,SDG,RB,24,16,16,1,1,21,1,0,313,1645,5.26,13,137,100,725,7.25,4,2,,17,,,344,443.8,449.8,393.8,202,2,2,TomlLa00,2003
2,3,Ahman Green*,GNB,RB,26,16,16,0,0,0,0,0,355,1883,5.30,15,60,50,367,7.34,5,7,5,20,,,335,385.0,396.0,360.0,193,3,3,GreeAh00,2003
3,4,Randy Moss*+,MIN,WR,26,16,16,0,1,0,0,0,6,18,3.00,0,172,111,1632,14.70,17,1,1,17,,,265,376.0,380.0,320.5,161,1,4,MossRa00,2003
4,5,Jamal Lewis*+,BAL,RB,24,16,16,0,0,0,0,0,387,2066,5.34,14,38,26,205,7.88,0,8,6,14,,,299,325.1,337.1,312.1,157,4,5,LewiJa00,2003
5,6,Torry Holt*+,STL,WR,27,16,15,0,0,0,0,0,1,5,5.00,0,183,117,1696,14.50,12,1,,12,,,242,359.1,362.1,300.6,138,2,6,HoltTo00,2003
6,7,Clinton Portis*,DEN,RB,22,13,13,0,0,0,0,0,290,1591,5.49,14,51,38,314,8.26,0,3,1,14,1,,275,312.5,319.5,293.5,133,5,7,PortCl00,2003
7,8,Shaun Alexander*,SEA,RB,26,16,15,0,0,0,0,0,326,1435,4.40,14,59,42,295,7.02,2,4,3,16,,,263,305.0,314.0,284.0,121,6,8,AlexSh00,2003
8,9,Deuce McAllister*,NOR,RB,25,16,16,0,2,0,0,0,351,1641,4.68,8,87,69,516,7.48,0,6,3,8,,,258,326.7,335.7,292.2,116,7,9,McAlDe00,2003
9,10,Chad Johnson*,CIN,WR,25,16,14,0,0,0,0,0,0,0,,0,154,90,1355,15.06,10,0,,10,,,196,285.5,288.5,240.5,91,3,10,JohnCh01,2003
