Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD,ID
A. Foster,2010,RB,7,392.0,0,0,0,0,0,0,327,1616,16,0,66,604,2,0,2,0,fostear01
R. White,2010,WR,8,316.2,0,0,0,0,0,0,1,3,0,0,115,1389,10,2,1,0,whitesh03
M. Vick,2010,QB,8,310.3,372,233,3018,21,6,1,100,676,9,0,0,0,0,0,3,0,vickmi01
A. Rodgers,2010,QB,10,304.5,475,312,3922,28,11,0,64,356,4,0,0,0,0,0,1,0,rodgeaa01
T. Brady,2010,QB,5,299.0,492,324,3900,36,4,0,31,30,1,0,0,0,0,0,1,0,bradyto01
L. McCoy,2010,RB,8,297.2,0,0,0,0,0,0,207,1080,7,0,78,592,2,0,1,0,mccoyle02
P. Hillis,2010,RB,8,294.9,2,1,13,0,0,0,270,1177,11,0,61,477,2,0,5,0,hillipe01
B. Lloyd,2010,WR,9,286.0,0,0,0,0,0,0,1,-18,0,0,77,1448,11,0,0,0,lloydbr01
P. Manning,2010,QB,7,285.8,679,450,4700,33,17,0,18,18,0,0,0,0,0,0,1,0,mannipe01
J. Charles,2010,RB,4,282.5,0,0,0,0,0,0,230,1467,5,0,45,468,3,0,2,0,charlja01
P. Rivers,2010,QB,10,281.6,541,357,4710,30,13,1,29,52,0,0,0,0,0,0,4,0,riverph01
R. Wayne,2010,WR,7,280.5,0,0,0,0,0,0,0,0,0,0,111,1355,6,0,1,0,waynere01
D. Bowe,2010,WR,4,278.6,0,0,0,0,0,0,1,4,0,0,72,1162,15,0,0,0,bowedw01
R. Rice,2010,RB,8,276.6,0,0,0,0,0,0,307,1220,5,0,63,556,1,0,0,0,ricera01
A. Peterson,2010,RB,4,275.9,0,0,0,0,0,0,283,1298,12,0,36,341,1,0,1,0,peterad02
G. Jennings,2010,WR,10,274.4,0,0,0,0,0,0,1,-1,0,0,76,1265,12,0,0,0,jennigr01
C. Johnson,2010,RB,9,272.9,0,0,0,0,0,0,316,1364,11,0,44,245,1,0,2,0,johnsch19
D. Brees,2010,QB,10,270.2,658,448,4620,33,22,0,18,-3,0,0,1,7,0,0,2,0,breesdr01
D. McFadden,2010,RB,10,267.4,1,0,0,0,0,0,223,1157,7,0,47,507,3,0,3,0,mcfadda01
C. Johnson,2010,WR,7,266.2,0,0,0,0,0,0,4,32,0,0,77,1120,12,1,0,0,johnsca03
M. Forte,2010,RB,8,264.6,0,0,0,0,0,0,237,1069,6,0,51,547,3,1,2,0,fortema01
J. Freeman,2010,QB,4,258.4,474,291,3451,25,6,0,68,364,0,1,0,0,0,0,3,0,freemjo01
A. Johnson,2010,WR,7,256.6,0,0,0,0,0,0,2,10,0,0,86,1216,8,0,0,0,johnsan03
M. Ryan,2010,QB,8,252.4,571,357,3705,28,9,2,46,122,0,0,0,0,0,0,3,0,ryanma01
H. Nicks,2010,WR,8,250.2,0,0,0,0,0,0,0,0,0,0,79,1052,11,0,0,0,nicksha01
M. Wallace,2010,WR,5,249.6,0,0,0,0,0,0,5,39,0,0,60,1257,10,0,0,0,wallami02
J. Witten,2010,TE,4,248.2,0,0,0,0,0,0,0,0,0,0,94,1002,9,1,1,0,witteja01
S. Johnson,2010,WR,6,247.3,0,0,0,0,0,0,0,0,0,0,82,1073,10,0,1,0,johnsst05
M. Schaub,2010,QB,7,245.6,574,365,4370,24,12,1,22,28,0,0,0,0,0,0,3,0,schauma01
S. Jackson,2010,RB,9,242.4,0,0,0,0,0,0,330,1241,6,0,46,383,0,0,1,0,jacksst03
L. Fitzgerald,2010,WR,6,241.7,0,0,0,0,0,0,0,0,0,0,90,1137,6,1,0,0,fitzgla01
R. Mendenhall,2010,RB,5,241.0,0,0,0,0,0,0,324,1273,13,0,23,167,0,0,2,0,mendera01
A. Bradshaw,2010,RB,8,239.9,0,0,0,0,0,0,276,1235,8,1,47,314,0,0,6,0,bradsah01
S. Moss,2010,WR,9,235.9,0,0,0,0,0,0,5,-6,0,0,93,1115,6,0,2,0,mosssa01
M. Jones-Drew,2010,RB,9,234.1,1,0,0,0,1,0,299,1324,5,0,34,317,2,0,2,0,drewma01
J. Flacco,2010,QB,8,231.3,489,306,3622,25,10,0,43,84,1,0,0,0,0,0,4,0,flaccjo01
E. Manning,2010,QB,8,231.1,539,339,4002,31,25,0,32,70,0,0,0,0,0,0,5,0,manniel01
M. Cassel,2010,QB,4,229.1,450,262,3116,27,7,0,33,125,0,0,0,0,0,0,1,0,cassema01
M. Colston,2010,WR,10,228.4,0,0,0,0,0,0,1,1,0,0,84,1023,7,0,0,0,colstma01
