Player,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Lamar Jackson,8,474.0,401,265,3127,36,6,0,176,1206,7,0,0,0,0,0,2,0
Christian McCaffrey,7,456.0,2,0,0,0,0,0,287,1387,15,1,116,1005,4,0,0,0
Dak Prescott,8,385.0,596,388,4902,30,11,1,52,277,3,0,0,0,0,0,2,0
Russell Wilson,11,379.0,516,341,4110,31,5,1,75,342,3,0,0,0,0,0,2,0
Michael Thomas,9,368.0,0,0,0,0,0,0,1,-9,0,0,149,1725,9,0,0,0
Jameis Winston,7,365.0,626,380,5109,33,30,2,59,250,1,2,0,0,0,0,5,0
Deshaun Watson,10,364.0,495,333,3852,26,12,1,82,413,7,0,1,6,1,0,3,0
Patrick Mahomes,12,329.0,484,319,4031,26,5,1,43,218,2,0,0,0,0,0,2,0
Aaron Rodgers,11,322.0,569,353,4002,26,4,2,46,183,1,1,0,0,0,0,4,0
Carson Wentz,10,322.0,607,388,4039,27,7,2,62,243,1,0,0,0,0,0,7,0
Josh Allen,6,318.0,461,271,3089,20,9,2,109,510,9,1,0,0,0,0,4,0
Kyler Murray,12,311.0,542,349,3722,20,12,3,93,544,4,0,0,0,0,0,2,0
Matt Ryan,9,311.0,616,408,4466,26,14,1,34,147,1,0,0,0,0,0,5,0
Tom Brady,10,304.0,613,373,4057,24,8,1,26,34,3,0,0,0,0,0,1,0
Aaron Jones,11,304.0,0,0,0,0,0,0,236,1084,16,0,49,474,3,0,2,0
Ezekiel Elliott,8,300.0,0,0,0,0,0,0,301,1357,12,0,54,420,2,0,2,0
Austin Ekeler,12,295.0,0,0,0,0,0,0,132,557,3,0,92,993,8,0,2,0
Jimmy Garoppolo,4,294.0,476,329,3978,27,13,2,46,62,1,0,0,0,0,0,5,0
Kirk Cousins,12,288.0,444,307,3603,26,6,1,31,63,1,0,0,0,0,0,3,0
Jared Goff,9,284.0,626,394,4638,22,16,0,33,40,2,0,0,0,0,0,5,0
Derrick Henry,11,284.0,0,0,0,0,0,0,303,1540,16,0,18,206,2,0,3,0
Dalvin Cook,12,282.0,0,0,0,0,0,0,250,1135,13,0,53,519,0,0,2,0
Derek Carr,6,276.0,513,361,4054,21,8,0,27,82,2,0,0,0,0,0,3,0
Philip Rivers,12,276.0,591,390,4615,23,20,1,12,29,0,0,0,0,0,0,3,0
Drew Brees,9,274.0,378,281,2979,27,4,0,9,-4,1,0,0,0,0,0,0,0
Chris Godwin,7,272.0,0,0,0,0,0,0,1,8,0,0,86,1333,9,1,0,0
Ryan Fitzpatrick,5,269.0,502,311,3529,20,13,1,54,243,4,0,0,0,0,0,2,0
Julio Jones,9,267.0,0,0,0,0,0,0,2,-3,0,0,99,1394,6,0,0,0
