Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Aaron RodgersA. Rodgers,5,469.0,526,372,4299,48,5,0,38,149,3,0,1,-6,0,0,2,0
Josh AllenJ. Allen,11,461.0,572,396,4544,37,10,0,102,421,8,0,1,12,1,0,6,0
Patrick MahomesP. Mahomes,10,439.0,588,390,4740,38,6,3,62,308,2,0,0,0,0,0,2,0
Russell WilsonR. Wilson,6,428.0,558,384,4212,40,13,1,83,513,2,0,0,0,0,0,4,0
Deshaun WatsonD. Watson,8,421.0,544,382,4823,33,7,1,90,444,3,0,0,0,0,0,3,0
Kyler MurrayK. Murray,8,418.0,558,375,3971,26,12,0,133,819,11,0,0,0,0,0,4,0
Tom BradyT. Brady,13,408.0,610,401,4633,40,12,0,30,6,3,0,0,0,0,0,1,0
Ryan TannehillR. Tannehill,4,395.0,481,315,3819,33,7,1,43,266,7,2,1,0,0,0,1,0
Justin HerbertJ. Herbert,6,384.0,595,396,4336,31,10,2,55,234,5,0,0,0,0,0,1,0
Lamar JacksonL. Jackson,7,375.0,376,242,2757,26,9,1,159,1005,7,0,0,0,0,0,4,0
Kirk CousinsK. Cousins,7,370.0,516,349,4265,35,13,5,32,156,1,0,0,0,0,0,5,0
Alvin KamaraA. Kamara,6,364.0,0,0,0,0,0,0,187,932,16,0,83,756,5,0,0,0
Davante AdamsD. Adams,5,354.0,0,0,0,0,0,0,0,0,0,0,115,1374,18,0,1,0
Dalvin CookD. Cook,7,330.0,0,0,0,0,0,0,312,1557,16,3,44,361,1,0,3,0
Matt RyanM. Ryan,10,327.0,626,407,4581,26,11,1,29,92,2,0,0,0,0,0,3,0
Ben RoethlisbergerB. Roethlisberger,4,326.0,608,399,3803,33,10,2,25,11,0,0,0,0,0,0,1,0
Derek CarrD. Carr,6,324.0,517,348,4103,27,9,1,39,140,3,0,0,0,0,0,8,0
Derrick HenryD. Henry,4,323.0,0,0,0,0,0,0,378,2027,17,1,19,114,0,0,2,0
Stefon DiggsS. Diggs,7,320.0,0,0,0,0,0,0,1,1,0,0,127,1535,8,0,0,0
Tyreek HillT. Hill,10,317.0,0,0,0,0,0,0,13,123,2,0,87,1276,15,0,0,0
Travis KelceT. Kelce,10,306.0,2,1,4,0,0,0,0,0,0,0,105,1416,11,1,1,0
Matthew StaffordM. Stafford,5,301.0,528,339,4084,26,10,2,29,112,0,0,0,0,0,0,1,0
Baker MayfieldB. Mayfield,9,288.0,486,305,3563,26,8,1,54,165,1,0,1,6,0,0,4,0
DeAndre HopkinsD. Hopkins,8,283.0,0,0,0,0,0,0,1,1,0,0,115,1407,6,0,2,0
Philip RiversP. Rivers,7,281.0,543,369,4169,24,11,1,18,-8,0,0,0,0,0,0,1,0
Calvin RidleyC. Ridley,10,278.0,0,0,0,0,0,0,5,1,0,0,90,1374,9,1,1,0
Jared GoffJ. Goff,9,275.0,552,370,3952,20,13,1,51,99,4,0,0,0,0,0,4,0
Darren WallerD. Waller,6,273.0,0,0,0,0,0,0,0,0,0,0,107,1196,9,1,2,0
Justin JeffersonJ. Jefferson,7,267.0,0,0,0,0,0,0,1,2,0,0,88,1400,7,2,0,0
D.K. MetcalfD. Metcalf,6,266.0,0,0,0,0,0,0,0,0,0,0,83,1303,10,0,1,0
Teddy BridgewaterT. Bridgewater,13,262.0,492,340,3733,15,11,1,53,279,5,0,0,0,0,0,3,0
Tyler LockettT. Lockett,6,260.0,0,0,0,0,0,0,0,0,0,0,100,1054,10,0,0,0
Cam NewtonC. Newton,5,258.0,368,242,2657,8,10,1,137,592,12,0,2,35,1,0,1,0
Allen RobinsonA. Robinson,11,258.0,0,0,0,0,0,0,1,-1,0,0,102,1250,6,0,0,0
Drew BreesD. Brees,6,255.0,390,275,2942,24,6,0,18,-2,2,0,0,0,0,0,2,0
David MontgomeryD. Montgomery,11,252.0,0,0,0,0,0,0,247,1070,8,1,54,438,2,0,1,0
Aaron JonesA. Jones,5,247.0,0,0,0,0,0,0,201,1104,9,0,47,355,2,0,0,0
Adam ThielenA. Thielen,7,246.0,0,0,0,0,0,0,3,15,0,0,74,925,14,1,0,0
