Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Pos,Year
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD,,
Patrick MahomesP. Mahomes,8,482.0,648,435,5250,41,12,2,61,358,4,1,1,6,0,0,0,0,QB,2022
Josh AllenJ. Allen,7,455.0,567,359,4283,35,14,1,124,762,7,1,0,0,0,0,5,0,QB,2022
Jalen HurtsJ. Hurts,7,412.0,460,306,3701,22,6,0,165,760,13,2,0,0,0,0,2,0,QB,2022
Joe BurrowJ. Burrow,10,411.0,606,414,4475,35,12,3,75,257,5,0,0,0,0,0,3,0,QB,2022
Geno SmithG. Smith,11,352.0,572,399,4282,30,11,0,68,366,1,0,0,0,0,0,4,0,QB,2022
Kirk CousinsK. Cousins,7,343.0,643,424,4547,29,14,3,31,97,2,0,0,0,0,0,3,0,QB,2022
Trevor LawrenceT. Lawrence,11,341.0,584,387,4113,25,8,3,62,291,5,0,0,0,0,0,9,0,QB,2022
Jared GoffJ. Goff,6,334.0,587,382,4438,29,7,1,29,73,0,1,1,5,0,0,4,0,QB,2022
Justin HerbertJ. Herbert,8,320.0,699,477,4739,25,10,1,54,147,0,0,2,-10,0,0,3,0,QB,2022
Tom BradyT. Brady,11,319.0,733,490,4694,25,9,2,29,-1,1,0,0,0,0,0,4,0,QB,2022
Justin FieldsJ. Fields,14,319.0,318,192,2242,17,11,1,160,1143,8,0,0,0,0,0,2,0,QB,2022
Daniel JonesD. Jones,9,308.0,472,317,3205,15,5,2,120,708,7,0,0,0,0,0,3,0,QB,2022
Aaron RodgersA. Rodgers,14,286.0,542,350,3695,26,12,2,34,94,1,0,0,0,0,0,4,0,QB,2022
Tua TagovailoaT. Tagovailoa,11,272.0,400,259,3548,25,8,0,24,70,0,0,0,0,0,0,1,0,QB,2022
Derek CarrD. Carr,6,258.0,502,305,3522,24,14,0,24,102,0,0,0,0,0,0,0,0,QB,2022
Lamar JacksonL. Jackson,10,258.0,326,203,2242,17,7,1,112,764,3,0,0,0,0,0,2,0,QB,2022
Russell WilsonR. Wilson,9,242.0,483,292,3524,16,11,0,55,277,3,0,1,1,0,0,2,0,QB,2022
Dak PrescottD. Prescott,9,238.0,394,261,2860,23,15,0,45,182,1,0,0,0,0,0,1,0,QB,2022
Kyler MurrayK. Murray,13,222.0,390,259,2368,14,7,3,67,418,3,1,0,0,0,0,2,0,QB,2022
Marcus MariotaM. Mariota,14,218.0,300,184,2219,15,9,2,85,438,4,0,0,0,0,0,3,0,QB,2022
Davis MillsD. Mills,6,208.0,479,292,3118,17,15,1,32,108,2,0,0,0,0,0,3,0,QB,2022
Andy DaltonA. Dalton,14,204.0,378,252,2871,18,9,1,30,54,0,0,0,0,0,0,1,0,QB,2022
Jimmy GaroppoloJ. Garoppolo,9,192.0,308,207,2437,16,4,0,23,33,2,0,0,0,0,0,2,0,QB,2022
Mac JonesM. Jones,10,188.0,442,288,2997,14,11,1,47,102,1,0,0,0,0,0,1,0,QB,2022
Jacoby BrissettJ. Brissett,9,187.0,369,236,2608,12,6,0,49,243,2,0,0,0,0,0,4,0,QB,2022
Matt RyanM. Ryan,14,181.0,461,309,3057,14,13,0,27,70,1,0,0,0,0,0,5,0,QB,2022
Ryan TannehillR. Tannehill,6,179.0,325,212,2536,13,6,1,34,98,2,0,0,0,0,0,2,0,QB,2022
Kenny PickettK. Pickett,9,152.0,389,245,2404,7,9,2,55,237,3,0,0,0,0,0,1,0,QB,2022
Taylor HeinickeT. Heinicke,14,138.0,259,161,1859,12,6,0,28,96,1,0,0,0,0,0,5,0,QB,2022
Baker MayfieldB. Mayfield,7,134.0,335,201,2163,10,8,0,31,89,1,0,0,0,0,0,2,0,QB,2022
Brock PurdyB. Purdy,9,128.0,170,114,1374,13,4,0,22,13,1,0,0,0,0,0,0,0,QB,2022
Carson WentzC. Wentz,14,128.0,276,172,1755,11,9,2,22,86,1,0,0,0,0,0,1,0,QB,2022
Matthew StaffordM. Stafford,7,126.0,303,206,2087,10,8,0,13,9,1,0,0,0,0,0,3,0,QB,2022
Zach WilsonZ. Wilson,10,105.0,242,132,1688,6,7,0,28,102,1,0,1,2,1,0,1,0,QB,2022
Sam DarnoldS. Darnold,13,98.0,140,82,1143,7,3,0,26,106,2,0,0,0,0,0,2,0,QB,2022
Deshaun WatsonD. Watson,6,96.0,170,99,1102,7,5,0,36,175,1,0,0,0,0,0,0,0,QB,2022
Mitchell TrubiskyM. Trubisky,9,75.0,180,117,1252,4,5,1,19,38,2,0,0,0,0,0,0,0,QB,2022
Cooper RushC. Rush,9,63.0,162,94,1051,5,3,0,9,6,0,0,0,0,0,0,0,0,QB,2022
Joe FlaccoJ. Flacco,10,60.0,191,110,1051,5,3,0,3,6,0,0,0,-3,0,0,4,0,QB,2022
Mike WhiteM. White,10,60.0,175,103,1192,3,4,0,6,9,1,0,0,0,0,0,1,0,QB,2022
Bailey ZappeB. Zappe,10,51.0,92,65,781,5,3,0,10,0,0,0,1,-6,0,0,3,0,QB,2022
Tyler HuntleyT. Huntley,10,50.0,112,75,658,2,3,0,43,137,1,1,0,0,0,0,0,0,QB,2022
Jarrett StidhamJ. Stidham,6,49.0,83,53,656,4,3,0,14,84,0,0,0,0,0,0,1,0,QB,2022
Jameis WinstonJ. Winston,14,49.0,115,73,858,4,5,1,5,16,0,0,0,0,0,0,0,0,QB,2022
Teddy BridgewaterT. Bridgewater,11,44.0,79,49,683,4,4,0,3,27,0,0,0,0,0,0,0,0,QB,2022
Phillip WalkerP. Walker,13,42.0,106,63,731,3,3,0,6,39,0,0,0,0,0,0,0,0,QB,2022
Gardner MinshewG. Minshew,7,41.0,76,44,663,3,3,0,7,3,1,0,0,0,0,0,1,0,QB,2022
Sam EhlingerS. Ehlinger,14,40.0,101,64,573,3,3,0,17,87,0,0,0,0,0,0,1,0,QB,2022
Desmond RidderD. Ridder,14,38.0,115,73,708,2,0,0,16,64,0,0,0,0,0,0,2,0,QB,2022
Colt McCoyC. McCoy,13,31.0,132,90,780,1,3,0,14,36,0,0,0,0,0,0,0,0,QB,2022
Joshua DobbsJ. Dobbs,6,26.0,68,40,411,2,2,0,8,44,0,0,0,0,0,0,2,0,QB,2022
David BloughD. Blough,13,22.0,58,38,402,2,2,0,4,5,0,0,0,0,0,0,1,0,QB,2022
Davis WebbD. Webb,9,22.0,40,23,168,1,0,0,6,41,1,0,0,0,0,0,0,0,QB,2022
Kyle AllenK. Allen,6,20.0,78,46,416,2,4,0,6,13,0,0,0,0,0,0,1,0,QB,2022
Brett RypienB. Rypien,9,20.0,88,53,483,2,4,0,6,7,0,0,0,0,0,0,1,0,QB,2022
Sam HowellS. Howell,14,19.0,19,11,169,1,1,0,5,35,1,0,0,0,0,0,0,0,QB,2022
Skylar ThompsonS. Thompson,11,17.0,105,60,534,1,3,0,14,21,0,0,0,0,0,0,2,0,QB,2022
Malik WillisM. Willis,6,16.0,61,31,276,0,3,0,27,123,1,0,0,0,0,0,2,0,QB,2022
John WolfordJ. Wolford,7,16.0,62,38,390,1,3,0,8,32,0,0,0,0,0,0,1,0,QB,2022
Bryce PerkinsB. Perkins,7,15.0,34,19,161,1,2,0,19,90,0,0,0,0,0,0,0,0,QB,2022
Jeff DriskelJ. Driskel,6,13.0,20,14,108,1,0,0,20,75,0,0,1,4,0,0,0,0,QB,2022
Tyrod TaylorT. Taylor,9,13.0,8,6,58,1,1,1,5,70,0,0,0,0,0,0,1,0,QB,2022
Jordan LoveJ. Love,14,12.0,21,14,195,1,0,0,1,-1,0,0,0,0,0,0,0,0,QB,2022
Nick MullensN. Mullens,7,12.0,25,21,224,1,1,0,4,8,0,0,0,0,0,0,0,0,QB,2022
Trey LanceT. Lance,9,11.0,31,15,194,0,1,0,16,67,0,0,0,0,0,0,0,0,QB,2022
Trevor SiemianT. Siemian,14,11.0,26,15,184,1,1,0,4,8,0,0,0,0,0,0,0,0,QB,2022
Chase DanielC. Daniel,8,10.0,12,8,52,1,0,1,1,4,0,0,0,0,0,0,0,0,QB,2022
Nathan PetermanN. Peterman,14,9.0,25,14,139,1,1,0,2,7,0,0,0,0,0,0,0,0,QB,2022
Chris StrevelerC. Streveler,10,8.0,15,10,90,0,0,0,9,54,0,0,0,0,0,0,0,0,QB,2022
Blaine GabbertB. Gabbert,11,7.0,8,6,29,1,0,0,0,0,0,0,0,0,0,0,0,0,QB,2022
Anthony BrownA. Brown,10,6.0,49,22,302,0,2,0,3,-5,0,0,0,0,0,0,1,0,QB,2022
Trace McSorleyT. McSorley,13,6.0,83,45,412,0,5,0,15,61,0,0,0,0,0,0,2,0,QB,2022
