,Rank,Player,Team,Pos,Age,G,GS,passCmp,passAtt,passYds,passTD,passInt,rushAtt,rushYds,rushYPA,rushTD,Tgt,Rec,recYds,recYPR,recTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,ID
0,1,Aaron Rodgers*+,GNB,QB,28,15,15,343,502,4643,45,6,60,257,4.28,3,0,0,0,,0,4,,3,,,397,397.4,409.4,403.4,175,1,1,RodgAa00
1,2,Drew Brees*,NOR,QB,32,16,16,468,657,5476,46,14,21,86,4.10,1,0,0,0,,0,1,1,1,,3,394,393.6,411.6,407.6,171,2,2,BreeDr00
2,3,Ray Rice*,BAL,RB,24,16,16,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,2,2,15,,,297,372.8,380.8,334.8,149,1,3,RiceRa00
3,4,Calvin Johnson*+,DET,WR,26,16,16,0,0,0,0,0,1,11,11.00,0,158,96,1681,17.51,16,1,1,16,,,263,359.2,363.2,311.2,148,1,4,JohnCa00
4,5,Cam Newton*,CAR,QB,22,16,16,310,517,4051,21,17,126,706,5.60,14,1,1,27,27.00,0,5,2,14,,2,369,370.3,395.3,386.8,147,3,5,NewtCa00
5,6,Rob Gronkowski*+,NWE,TE,22,16,16,0,0,0,0,0,1,2,2.00,1,124,90,1327,14.74,17,0,,18,,,241,330.9,333.9,285.9,145,1,6,GronRo00
6,7,Tom Brady*,NWE,QB,34,16,16,401,611,5235,39,12,43,109,2.53,3,0,0,0,,0,6,2,3,,,366,366.3,386.3,378.3,144,4,7,BradTo00
7,8,LeSean McCoy*+,PHI,RB,23,15,15,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,1,1,20,,,280,328.4,335.4,304.4,133,2,8,McCoLe01
8,9,Matthew Stafford,DET,QB,23,16,16,421,663,5038,41,16,22,78,3.55,0,0,0,0,,0,5,1,0,,2,343,343.3,363.3,359.3,121,5,9,StafMa00
9,10,Maurice Jones-Drew*+,JAX,RB,26,16,16,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.70,3,6,1,11,,,262,305.0,312.0,283.5,115,3,10,DrewMa00
10,11,Arian Foster*,HOU,RB,25,13,13,0,0,0,0,0,278,1224,4.40,10,72,53,617,11.64,2,5,2,12,,,252,305.1,313.1,278.6,105,4,11,FostAr00
11,12,Jordy Nelson,GNB,WR,26,16,9,0,0,0,0,0,0,0,,0,96,68,1263,18.57,15,0,,15,,,216,284.3,287.3,250.3,101,2,12,NelsJo00
12,13,Jimmy Graham*,NOR,TE,25,16,11,0,0,0,0,0,0,0,,0,149,99,1310,13.23,11,1,1,11,,,195,294.0,298.0,244.5,99,2,13,GrahJi00
13,14,Wes Welker*+,NWE,WR,30,16,15,0,0,0,0,0,4,30,7.50,0,173,122,1569,12.86,9,1,,9,,,214,335.9,338.9,274.9,98,3,14,WelkWe00
14,15,Victor Cruz,NYG,WR,25,16,7,0,0,0,0,0,1,3,3.00,0,131,82,1536,18.73,9,1,1,9,,,206,287.9,291.9,246.9,90,4,15,CruzVi00
15,16,Larry Fitzgerald*,ARI,WR,28,16,16,0,0,0,0,0,0,0,,0,154,80,1411,17.64,8,0,,8,,,189,269.1,272.1,229.1,74,5,16,FitzLa00
16,17,Steve Smith Sr.*,CAR,WR,32,16,16,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,3,2,7,1,,185,264.0,269.0,224.5,69,6,17,SmitSt01
17,18,Marshawn Lynch*,SEA,RB,25,15,15,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,3,2,13,,,216,243.6,251.6,229.6,68,5,18,LyncMa00
18,19,Percy Harvin,MIN,WR,23,16,14,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,2,2,9,,,181,268.2,276.2,224.7,66,7,19,HarvPe00
